date_posted,job_title,url,company,employment_type,location,salary,currency,valid_through,jenis_kelamin
2022-10-02T18:16:32+07:00,Customer Service,https://www.jobs.id/lowongan/MzIwNjk1/customer-service-inti-logam-mulia-group?qt_ref=search&qt_page=1&qt_pos=1,Inti Logam Mulia Group,FULL_TIME,Banjarnegara,3000000-5000000,IDR,2022-10-12,Pria/Wanita
2022-10-02T18:20:26+07:00,Admin,https://www.jobs.id/lowongan/MzI0OTI0/admin-merah-putih-asia-pt?qt_ref=search&qt_page=1&qt_pos=2,Merah Putih Asia. PT,FULL_TIME,Surabaya,5000000-10000000,IDR,2022-10-31,Pria/Wanita
2022-10-02T18:18:51+07:00,"Staff of Finance, Accounting and Tax (FAT)",https://www.jobs.id/lowongan/MzIzNDY4/staff-of-finance-accounting-and-tax-fat-rinnai-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=3,Rinnai Indonesia PT,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-06,Pria/Wanita
2022-10-02T17:28:50+07:00,Sales Executive,https://www.jobs.id/lowongan/MTY0Mzc4/sales-executive-perdana-jatiputra-pt?qt_ref=search&qt_page=1&qt_pos=4,Perdana Jatiputra PT,FULL_TIME,Jakarta Pusat,4000000-6000000,IDR,2022-10-30,Pria/Wanita
2022-10-02T17:26:52+07:00,Sales Engineers,https://www.jobs.id/lowongan/MzI1OTMy/sales-engineers-tricore-utama-pt?qt_ref=search&qt_page=1&qt_pos=5,Tricore Utama PT,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-21,Pria/Wanita
2022-10-02T17:17:50+07:00,Instruktur Komputer,https://www.jobs.id/lowongan/MzI2MDk5/instruktur-komputer-internusa-education-pt?qt_ref=search&qt_page=1&qt_pos=6,Internusa Education PT,FULL_TIME,Bekasi,Negotiable,IDR,2022-10-30,Pria/Wanita
2022-10-02T18:23:13+07:00,Admin Toko,https://www.jobs.id/lowongan/MzI0Mjkx/admin-toko-jawara-kreasitama-pt?qt_ref=search&qt_page=1&qt_pos=7,Jawara Kreasitama PT,FULL_TIME,Bantul,Negotiable,IDR,2022-10-09,Pria/Wanita
2022-10-02T17:05:22+07:00,Staff Pajak,https://www.jobs.id/lowongan/MzI2MTAz/staff-pajak-surya-triniti-jaya-pt?qt_ref=search&qt_page=1&qt_pos=8,Surya Triniti Jaya PT,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-30,Pria/Wanita
2022-10-02T17:14:07+07:00,Sales Marketing,https://www.jobs.id/lowongan/MzI2MDk1/sales-marketing-karya-mentari-seraya-pt?qt_ref=search&qt_page=1&qt_pos=9,Karya Mentari Seraya PT,FULL_TIME,Jakarta Pusat,Negotiable,IDR,2022-10-30,Pria/Wanita
2022-10-02T18:20:28+07:00,Account Executive - Media Specialist,https://www.jobs.id/lowongan/MzI2MDE4/account-executive-media-specialist-supra-media-nusantara-pt?qt_ref=search&qt_page=1&qt_pos=10,Supra Media Nusantara PT,FULL_TIME,Jakarta Utara,4000000-5000000,IDR,2022-10-30,Pria/Wanita
2022-10-02T17:46:48+07:00,Bagian Legal dan Perizinan,https://www.jobs.id/lowongan/MzI1NDgz/bagian-legal-dan-perizinan-adimitra-sukses-pt?qt_ref=search&qt_page=1&qt_pos=11,Adimitra Sukses PT,FULL_TIME,Tangerang,Negotiable,IDR,2022-10-14,Pria/Wanita
2022-10-02T18:22:49+07:00,Lead Ops,https://www.jobs.id/lowongan/MzAzMjQw/lead-ops-itommey-bintang-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=12,Itommey Bintang Indonesia PT,FULL_TIME,Jakarta Pusat,Negotiable,IDR,2022-10-05,Pria/Wanita
2022-10-02T18:21:48+07:00,Sales Marketing,https://www.jobs.id/lowongan/MzE0NjMw/sales-marketing-multi-oto-internusa-pt?qt_ref=search&qt_page=1&qt_pos=13,Multi Oto Internusa PT,FULL_TIME,Cianjur,3270000-5300000,IDR,2022-10-10,Pria/Wanita
2022-10-02T17:38:47+07:00,Driver (DR),https://www.jobs.id/lowongan/MzIyNjU1/driver-dr-labora-mandiri-indo-pratama?qt_ref=search&qt_page=1&qt_pos=14,Labora Mandiri Indo Pratama,FULL_TIME,Jakarta Pusat,Negotiable,IDR,2022-10-29,Pria/Wanita
2022-10-02T18:21:10+07:00,Staff Admin,https://www.jobs.id/lowongan/MzI2MDg0/staff-admin-nafisah-jaya-abadi-cv?qt_ref=search&qt_page=1&qt_pos=15,Nafisah Jaya Abadi CV,FULL_TIME,Surabaya,Negotiable,IDR,2022-10-29,Pria/wanita
2022-10-02T18:21:08+07:00,Sales Representative,https://www.jobs.id/lowongan/MzI1OTEz/sales-representative-narmada-guna-medika-pt?qt_ref=search&qt_page=1&qt_pos=16,Narmada Guna Medika PT,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-21,Pria/Wanita
2022-10-02T16:09:58+07:00,Fundraiser Management Trainee,https://www.jobs.id/lowongan/MzI2MDcw/fundraiser-management-trainee-key-groove-direct-indonesia?qt_ref=search&qt_page=1&qt_pos=17,Key Groove Direct Indonesia,FULL_TIME,Jakarta Barat,Negotiable,IDR,2022-10-29,Pria/Wanita
2022-10-02T14:50:10+07:00,National Service Manager,https://www.jobs.id/lowongan/MzI2MDYz/national-service-manager-pratama-inspira-indonesia-pt?qt_ref=search&qt_page=1&qt_pos=18,Pratama Inspira Indonesia PT,FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-28,Pria/Wanita
2022-10-02T17:15:31+07:00,Dokter Gigi Kebagusan-Jakarta Selata,https://www.jobs.id/lowongan/MzE4NDgz/dokter-gigi-kebagusan-jakarta-selata-radhinta-sentosa-abadi-pt-rasea?qt_ref=search&qt_page=1&qt_pos=21,Radhinta Sentosa Abadi PT (RASEA),FULL_TIME,Jakarta Selatan,Negotiable,IDR,2022-10-28,Pria/Wanita
2022-10-02T17:26:18+07:00,Product Manager Vitamin,https://www.jobs.id/lowongan/MzIyNzY3/product-manager-vitamin-karya-putra-nusantara-perkasa-pt?qt_ref=search&qt_page=1&qt_pos=22,Karya Putra Nusantara Perkasa PT,FULL_TIME,Bandung,Negotiable,IDR,2022-10-12,Pria/Wanita
